Rest;Variante 1;;;Variante 2;;;mit 2 Darts;
;1. Dart;2. Dart;3. Dart;1. Dart;2. Dart;3. Dart;1. Dart;2. Dart
170;T20;T20;D-Bull;;;;;
167;T20;T19;D-Bull;;;;;
164;T20;T18;D-Bull;T19;T19;D-Bull;;
161;T20;T17;D-Bull;;;;;
160;T20;T20;D20;;;;;
158;T20;T20;D19;;;;;
157;T20;T19;D20;;;;;
156;T20;T20;D18;;;;;
155;T20;T19;D19;;;;;
154;T20;T18;D20;;;;;
153;T20;T19;D18;;;;;
152;T20;T20;D16;;;;;
151;T20;T17;D20;T19;T18;D20;;
150;T20;T18;D18;T19;T19;D18;;
149;T20;T19;D16;;;;;
148;T20;T20;D14;T19;T17;D20;;
147;T20;T17;D18;T19;T18;D18;;
146;T20;T18;D16;T19;T19;D16;;
145;T20;T19;D14;;;;;
144;T20;T20;D12;;;;;
143;T20;T17;D16;T19;T18;D16;;
142;T20;T14;D20;T19;T19;D14;;
141;T20;T19;D12;;;;;
140;T20;T20;D10;;;;;
139;T20;T13;D20;T20;T19;D11;;
138;T20;T18;D12;T19;T19;D12;;
137;T20;T19;D10;;;;;
136;T20;T20;D8;;;;;
135;T20;T17;D12;S20;T20;D-Bull;;
134;T20;T16;D13;;;;;
133;T20;T19;D8;;;;;
132;T20;T16;D12;S20;T19;D-Bull;;
131;T19;T14;D16;T20;T13;D16;;
130;T20;T20;D5;;;;;
129;T19;T16;D12;T20;T19;D6;;
128;T18;T14;D16;T20;T18;D7;;
127;T20;T17;D8;;;;;
126;T19;T19;D6;;;;;
125;T18;T19;D7;T20;T15;D10;;
124;T20;T14;D11;;;;;
123;T19;T16;D9;;;;;
122;T18;T18;D7;;;;;
121;T20;T11;D14;T17;T20;D5;;
120;T20;S20;D20;;;;;
119;T19;T12;D13;;;;;
118;T20;S18;D20;;;;;
117;T19;S20;D20;T20;T17;D20;;
116;T19;S19;D20;T20;T16;D20;;
115;T20;S15;D20;T19;T18;D20;;
114;T19;S17;D20;T20;T14;D20;;
113;T19;S16;D20;;;;;
112;T20;T12;D8;;;;;
111;T19;S14;D20;T20;S11;D20;;
110;T20;T10;D10;;;;T20;D-Bull
109;T20;S9;D20;;;;;
108;T20;S16;D16;T20;S8;D20;;
107;T19;T10;D10;;;;T19;D-Bull
106;T20;T10;D8;;;;;
105;T20;S13;D16;;;;;
104;T19;S15;D16;;;;T18;D-Bull
103;T19;S6;D20;T19;S10;D18;;
102;T20;S10;D16;T20;S6;D18;;
101;T20;S9;D16;;;;T17;D-Bull
100;T20;D20;-;;;;;
99;T19;S10;D16;T19;S6;D18;;
98;T20;D19;-;;;;;
97;T19;D20;-;;;;;
96;T20;D18;-;;;;;
95;T19;D19;-;S20;T20;D5;;
94;T18;D20;-;S20;T19;D6;;
93;T19;D18;-;S20;T18;D7;;
92;T20;D16;-;S20;T17;D8;;
91;T17;D20;-;S20;T16;D9;;
90;T20;D15;-;;;;T18;D18
89;T19;D16;-;;;;;
88;T20;D14;-;;;;;
87;T17;D18;-;;;;;
86;T18;D16;-;;;;;
85;T15;D20;-;T19;D14;-;;
84;T20;D12;-;;;;;
83;T17;D16;-;;;;;
82;D-Bull;D16;-;T14;D20;-;;
81;T19;D12;-;T15;D18;-;;
80;T20;D10;-;D20;D20;-;;
79;T19;D11;-;T13;D20;-;;
78;T18;D12;-;;;;;
77;T19;D10;-;;;;;
76;T20;D8;-;T16;D14;-;;
75;T17;D12;-;;;;;
74;T14;D16;-;;;;;
73;T19;D8;-;;;;;
72;T16;D12;-;T20;D6;-;;
71;T13;D16;-;;;;;
70;T18;D8;-;;;;T20;D5
69;T19;D6;-;;;;T19;D6
68;T20;D4;-;T16;D10;-;T18;D7
67;T9;D20;-;;;;T17;D8
66;T10;D18;-;T18;D6;-;T16;D9
65;T11;D16;-;T19;D4;-;T15;D10
64;T16;D8;-;;;;T14;D11
63;T13;D12;-;T17;D6;-;T13;D12
62;T10;D16;-;;;;T12;D13
61;T15;D8;-;T7;D20;-;T11;D14
60;S20;D20;-;;;;;
59;S19;D20;-;;;;;
58;S18;D20;-;;;;;
57;S17;D20;-;;;;;
56;T16;D4;-;;;;;
55;S15;D20;-;;;;;
54;S14;D20;-;;;;;
53;S13;D20;-;;;;;
52;S12;D20;-;S20;D16;-;;
51;S11;D20;-;S19;D16;-;;
50;S10;D20;-;S18;D16;-;;
49;S19;D20;-;S17;D16;-;;
48;S16;D16;-;S8;D20;-;;
47;S7;D20;-;S15;D16;-;;
46;S6;D20;-;S10;D18;-;;
45;S13;D16;-;S19;D13;-;;
44;S12;D16;-;S4;D20;-;;
43;S3;D20;-;S11;D16;-;;
42;S10;D16;-;S6;D18;-;;
41;S9;D16;-;;;;;
